,index,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,0,343,No,2,"Collander, Mr. Erik Gustaf",male,28,0,0,248740,13.0,S
1,1,76,No,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,S
2,2,641,No,3,"Jensen, Mr. Hans Peder",male,20,0,0,350050,7.8542,S
3,3,568,No,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,349909,21.075,S
4,4,672,No,1,"Davidson, Mr. Thornton",male,31,1,0,F.C. 12750,52.0,S
5,5,105,No,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,S
6,6,576,No,3,"Patchett, Mr. George",male,19,0,0,358585,14.5,S
7,7,382,Yes,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,C
8,8,228,No,3,"Lovell, Mr. John Hall (""Henry"")",male,20,0,0,A/5 21173,7.25,S
9,9,433,Yes,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,1,0,SC/AH 3085,26.0,S
10,10,135,No,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13.0,S
11,11,294,No,3,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,S
12,12,755,Yes,2,"Herman, Mrs. Samuel (Jane Laver)",female,48,1,2,220845,65.0,S
13,13,595,No,2,"Chapman, Mr. John Henry",male,37,1,0,SC/AH 29037,26.0,S
14,14,127,No,3,"McMahon, Mr. Martin",male,27,0,0,370372,7.75,Q
15,15,434,No,3,"Kallio, Mr. Nikolai Erland",male,17,0,0,STON/O 2. 3101274,7.125,S
16,16,378,No,1,"Widener, Mr. Harry Elkins",male,27,0,2,113503,211.5,C
17,17,533,No,3,"Elias, Mr. Joseph Jr",male,17,1,1,2690,7.2292,C
18,18,666,No,2,"Hickman, Mr. Lewis",male,32,2,0,S.O.C. 14879,73.5,S
19,19,225,Yes,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90.0,S
20,20,83,Yes,3,"McDermott, Miss. Brigdet Delia",female,41,0,0,330932,7.7875,Q
21,21,130,No,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,S
22,22,544,Yes,2,"Beane, Mr. Edward",male,32,1,0,2908,26.0,S
